#,Thumb,Index,Middle,Ring,Pinky
calib_closed,166786.55,645400.19,210874.66,159935.43,246920.50
calib_half,168166.05,536475.05,195054.10,150579.83,220416.28
calib_open,165513.87,491235.01,179621.84,142322.23,195716.00
calib_span,1272.68,154165.18,31252.82,17613.20,51204.50

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
8.8200,1.00000,1.00000,1.00000,1.00000,0.41471,0.27470,-0.18230,-0.92450
8.8360,1.00000,1.00000,1.00000,1.00000,0.41471,0.27470,-0.18230,-0.92450
8.8520,1.00000,1.00000,1.00000,1.00000,0.41471,0.27470,-0.18230,-0.92450
8.8700,1.00000,1.00000,1.00000,1.00000,0.41471,0.27470,-0.18230,-0.92450
8.8860,1.00000,1.00000,1.00000,1.00000,0.41281,0.26500,-0.17350,-0.92520
8.9020,1.00000,1.00000,1.00000,1.00000,0.41503,0.26300,-0.15980,-0.92650
8.9190,1.00000,1.00000,1.00000,1.00000,0.41503,0.26300,-0.15980,-0.92650
8.9350,1.00000,1.00000,1.00000,1.00000,0.41630,0.26450,-0.19080,-0.92770
8.9520,1.00000,1.00000,1.00000,1.00000,0.41599,0.27230,-0.16740,-0.92180
8.9690,1.00000,1.00000,1.00000,1.00000,0.41599,0.27230,-0.16740,-0.92180
8.9860,1.00000,1.00000,1.00000,1.00000,0.41599,0.27230,-0.16740,-0.92180
9.0030,1.00000,1.00000,1.00000,1.00000,0.41693,0.27060,-0.17890,-0.91210
9.0190,1.00000,1.00000,1.00000,1.00000,0.41757,0.25670,-0.18790,-0.91500
9.0360,1.00000,1.00000,1.00000,1.00000,0.41757,0.25670,-0.18790,-0.91500
9.0530,1.00000,1.00000,1.00000,1.00000,0.41757,0.25670,-0.18790,-0.91500
9.0690,1.00000,1.00000,1.00000,1.00000,0.41820,0.26010,-0.16100,-0.91330
9.0850,1.00000,1.00000,1.00000,1.00000,0.41820,0.26010,-0.16100,-0.91330
9.1020,1.00000,1.00000,1.00000,1.00000,0.41820,0.26010,-0.16100,-0.91330
9.1180,1.00000,1.00000,1.00000,1.00000,0.41946,0.26110,-0.17060,-0.91400
9.1360,1.00000,1.00000,1.00000,1.00000,0.41978,0.26470,-0.16250,-0.91740
9.1530,1.00000,1.00000,1.00000,1.00000,0.41978,0.26470,-0.16250,-0.91740
9.1700,1.00000,1.00000,1.00000,1.00000,0.41978,0.26470,-0.16250,-0.91740
9.1870,1.00000,1.00000,1.00000,1.00000,0.41883,0.27330,-0.16570,-0.91670
9.2040,1.00000,1.00000,1.00000,1.00000,0.41883,0.27330,-0.16570,-0.91670
9.2210,1.00000,1.00000,1.00000,1.00000,0.41883,0.27330,-0.16570,-0.91670
9.2390,1.00000,1.00000,1.00000,1.00000,0.41883,0.27910,-0.17150,-0.93210
