#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
4.4580,-1.00000,0.94217,-0.03745,0.87919,1.00000,0.22470,0.24860,-0.91430
4.4740,-1.00000,0.94217,-0.03745,0.87919,1.00000,0.22470,0.24860,-0.91430
4.4900,-1.00000,0.94464,-0.07511,0.87467,1.00000,0.22860,0.23060,-0.91770
4.5060,-1.00000,0.94371,-0.06273,0.87467,1.00000,0.22790,0.23550,-0.92260
4.5230,-1.00000,0.94371,-0.06273,0.87467,1.00000,0.22790,0.23550,-0.92260
4.5390,-1.00000,0.94371,-0.06273,0.87467,1.00000,0.22790,0.23550,-0.92260
4.5550,-1.00000,0.93849,-0.02930,0.86628,1.00000,0.23030,0.23670,-0.91620
4.5720,-1.00000,0.94004,0.00000,0.87525,1.00000,0.22740,0.23690,-0.92110
4.5890,-1.00000,0.94004,0.00000,0.87525,1.00000,0.22740,0.23690,-0.92110
4.6050,-1.00000,0.94004,0.00000,0.87525,1.00000,0.22740,0.23690,-0.92110
4.6210,-1.00000,0.93452,0.00000,0.88816,1.00000,0.22450,0.24130,-0.91650
4.6370,-1.00000,0.93452,0.00000,0.88816,1.00000,0.22450,0.24130,-0.91650
4.6530,-1.00000,0.93452,0.00000,0.88816,1.00000,0.22450,0.24130,-0.91650
4.6690,-1.00000,0.92651,0.00000,0.88817,1.00000,0.22670,0.23690,-0.92040
4.6850,-1.00000,0.92989,0.00000,0.88688,1.00000,0.22860,0.25400,-0.91890
4.7010,-1.00000,0.92989,0.00000,0.88688,1.00000,0.22860,0.25400,-0.91890
4.7180,-1.00000,0.92989,0.00000,0.88688,1.00000,0.22860,0.25400,-0.91890
4.7350,-1.00000,0.93634,0.00000,0.90363,1.00000,0.22470,0.24350,-0.91600
4.7520,-1.00000,0.93634,0.00000,0.90363,1.00000,0.22470,0.24350,-0.91600
4.7680,-1.00000,0.93634,0.00000,0.90363,1.00000,0.22470,0.24350,-0.91600
4.7850,-1.00000,0.93634,0.00000,0.90363,1.00000,0.22470,0.24350,-0.91600
