#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
4.5860,0.94003,0.84571,1.00000,1.00000,0.62725,0.34700,-0.08200,-0.90380
4.6030,0.94003,0.84571,1.00000,1.00000,0.62725,0.34700,-0.08200,-0.90380
4.6200,0.94282,0.84534,1.00000,1.00000,0.62767,0.35280,-0.07640,-0.90180
4.6360,0.94072,0.84607,1.00000,1.00000,0.62561,0.35160,-0.07420,-0.90550
4.6530,0.94072,0.84607,1.00000,1.00000,0.62561,0.35160,-0.07420,-0.90550
4.6690,0.94072,0.84607,1.00000,1.00000,0.62561,0.35160,-0.07420,-0.90550
4.6850,0.94245,0.84351,1.00000,1.00000,0.62684,0.35650,-0.09000,-0.91010
4.7020,0.94245,0.84351,1.00000,1.00000,0.62684,0.35650,-0.09000,-0.91010
4.7180,0.94245,0.84351,1.00000,1.00000,0.62684,0.35650,-0.09000,-0.91010
4.7360,0.94003,0.84533,1.00000,1.00000,0.62067,0.33550,-0.08130,-0.89770
4.7520,0.93932,0.84424,1.00000,1.00000,0.61861,0.33310,-0.09930,-0.89960
4.7680,0.93932,0.84424,1.00000,1.00000,0.61861,0.33310,-0.09930,-0.89960
4.7850,0.93932,0.84424,1.00000,1.00000,0.61861,0.33310,-0.09930,-0.89960
4.8010,0.94556,0.84351,1.00000,1.00000,0.62149,0.34970,-0.08560,-0.89550
4.8170,0.94764,0.83985,1.00000,1.00000,0.62149,0.36210,-0.08200,-0.90180
